sku,price
470973,16.5
454025,106
105675,87
105676,68.5
482519,87
236332,66.5
250468,106
140817,92
497284,132
465834,39
482095,137
408738,81.5
428771,22
451571,78.5
481263,152
253120,111
403109,111
462743,13.99
431324,68.5
497072,82.5
105531,111
429993,78.5
418658,107
450559,81.5
433095,106
494334,106
434286,56.5
630084,7.25
419141,107
499455,81.5
420001,76.5
448539,63.5
433467,136
464819,37.5
483903,125
488693,37
485667,87
447636,74.5
425238,94
416484,19.99
411830,73.5
480061,97
456334,54.99
400970,54.99
401032,47.5
472212,47.5
429072,44
414736,44
487570,44
433409,44
428361,44
422906,29
625697,6.99
101002,4.99
235334,9.99
487488,112
268553,17.99
454843,31
440048,31
409171,17.99
212517,17.99
277108,31.95
266479,54.99
283509,86.49
104007,14
489722,103
489653,102
438242,73.5
102977,122
438223,87
